Identifier,skos:prefLabel@en,skos:definition@en,"skos:altLabel(separator="","")","dct:source(separator="","")","skos:broader(separator="","")","skos:exactMatch(separator="","")","skos:closeMatch(separator="","")",skos:editorialNote@en,"dct:creator(separator="","")","dct:contributor(separator="","")",purl_target,
datacite:ISBN,ISBN,A unique numeric book identifier. There are 2 formats: a 10-digit ISBN format and a 13-digit ISBN.,International Standard Book Number,,datacite:relatedIdentifierType,,,,,,,
datacite:ISSN,ISSN,A unique 8-digit number used to identify a print or electronic periodical publication.,International Standard Serial Number,,datacite:relatedIdentifierType,,,,,,,
datacite:ISTC,ISTC,A unique “number” assigned to a textual work. An ISTC consists of 16 numbers and/or letters.,International Standard Text Code,,datacite:relatedIdentifierType,,,,,,,
datacite:LISSN,LISSN,The linking ISSN or ISSN-L enables collocation or linking among different media versions of a continuing resource.,Linking ISSN,,datacite:relatedIdentifierType,,,,,,,
datacite:LISSN,LISSN,A unique identifier for data in the Life Science domain. Format: urn:lsid:authority:namespace:identifier:revision.,Life Science Identifiers,,datacite:relatedIdentifierType,,,,,,,
datacite:PMID,PMID,A unique number assigned to each PubMed record.,PubMed identifier,,datacite:relatedIdentifierType,,,,,,,
datacite:PURL,PURL,"A PURL has three parts: (1) a protocol, (2) a resolver address, and (3) a name.",Persistent Uniform Resource Locator,,datacite:relatedIdentifierType,,,,,,,
datacite:UPC,UPC,"A barcode symbology used for tracking trade items in stores. Its most common form, the UPC-A, consists of 12 numerical digits.",Universal Product Code,,datacite:relatedIdentifierType,,,,,,,
datacite:URL,URL,"Also known as web address, a URL is a specific character string that constitutes a reference to a resource. The syntax is: scheme://domain:port/path?query_string#fragment_id.",Uniform Resource Locator,,datacite:relatedIdentifierType,,,,,,,
datacite:URN,URN,"A unique and persistent identifier of an electronic document. The syntax is: urn:<NID>:<NSS>. The leading urn: sequence is case-insensitive, <NID> is the namespace identifier, <NSS> is the namespace-specific string.",Uniform Resource Name,,datacite:relatedIdentifierType,,,,,,,
datacite:w3id,w3id,Mostly used to publish vocabularies and ontologies. The letters ‘w3’ stand for “World Wide Web”.,Permanent identifier for Web applications,,datacite:relatedIdentifierType,,,,,,,
datacite:relationType,relationType,Description of the relationship of the resource being registered (A) and the related resource (B).,,,,,,,,,,
datacite:IsCitedBy,IsCitedBy,indicates that B includes A in a citation,,,datacite:relationType,,,,,,,
